Username,Device,Login Time,Logout Time
Emmanuel,ROG-Zephyrus,2025-06-17 09:28:04,
"Emmanuel",ROG-Zephyrus,2025-06-17 09:39:41,2025-06-17 09:42:08
"Rusiana, Emmanuel",ROG-Zephyrus,2025-06-17 09:42:27,
